y,date,Deaths,Cases,vaccinations
206,22/08/2020,8,824,0
207,23/08/2020,14,824,0
208,24/08/2020,6,1275,0
209,25/08/2020,12,1246,0
210,26/08/2020,11,1348,0
211,27/08/2020,8,1551,0
212,28/08/2020,10,1624,0
213,29/08/2020,5,1222,0
214,30/08/2020,6,1160,0
215,31/08/2020,9,1501,0
216,01/09/2020,3,2248,0
217,02/09/2020,9,2991,0
218,03/09/2020,10,3094,0
219,04/09/2020,7,3037,0
220,05/09/2020,13,2543,0
221,06/09/2020,8,2442,0
222,07/09/2020,15,3862,0
223,08/09/2020,9,3300,0
224,09/09/2020,9,3328,0
225,10/09/2020,13,3577,0
226,11/09/2020,13,3285,0
227,12/09/2020,18,2656,0
228,13/09/2020,16,2129,0
229,14/09/2020,21,3383,0
230,15/09/2020,18,3538,0
231,16/09/2020,26,4346,0
232,17/09/2020,27,4620,0
233,18/09/2020,24,4956,0
234,19/09/2020,20,4850,0
235,20/09/2020,32,5314,0
236,21/09/2020,27,5600,0
237,22/09/2020,39,6399,0
238,23/09/2020,57,7053,0
239,24/09/2020,35,7599,0
240,25/09/2020,32,7238,0
241,26/09/2020,39,6750,0
242,27/09/2020,47,6968,0
243,28/09/2020,54,9922,0
244,29/09/2020,48,10232,0
245,30/09/2020,57,12556,0
246,01/10/2020,66,13184,0
247,02/10/2020,69,13687,0
248,03/10/2020,67,11531,0
249,04/10/2020,60,11801,0
250,05/10/2020,72,16545,0
251,06/10/2020,71,17052,0
252,07/10/2020,102,18317,0
253,08/10/2020,93,18234,0
254,09/10/2020,79,15716,0
255,10/10/2020,104,12504,0
256,11/10/2020,124,12066,0
257,12/10/2020,113,19427,0
258,13/10/2020,111,18881,0
259,14/10/2020,116,19693,0
260,15/10/2020,151,18429,0
261,16/10/2020,150,17715,0
262,17/10/2020,178,14750,0
263,18/10/2020,160,14193,0
264,19/10/2020,192,25604,0
265,20/10/2020,197,25322,0
266,21/10/2020,221,25438,0
267,22/10/2020,236,23233,0
268,23/10/2020,223,21460,0
269,24/10/2020,214,16229,0
270,25/10/2020,251,15719,0
271,26/10/2020,278,26538,0
272,27/10/2020,266,24087,0
273,28/10/2020,287,23605,0
274,29/10/2020,313,23349,0
275,30/10/2020,339,22655,0
276,31/10/2020,319,16477,0
277,01/11/2020,359,15747,0
278,02/11/2020,337,31507,0
279,03/11/2020,361,25576,0
280,04/11/2020,329,23672,0
281,05/11/2020,380,23744,0
282,06/11/2020,401,23321,0
283,07/11/2020,392,18518,0
284,08/11/2020,416,19952,0
285,09/11/2020,482,31042,0
286,10/11/2020,391,27409,0
287,11/11/2020,391,27355,0
288,12/11/2020,421,24460,0
289,13/11/2020,436,24036,0
290,14/11/2020,431,17985,0
291,15/11/2020,454,16024,0
292,16/11/2020,424,26573,0
293,17/11/2020,439,23164,0
294,18/11/2020,487,20750,0
295,19/11/2020,461,17755,0
296,20/11/2020,454,16844,0
297,21/11/2020,466,12350,0
298,22/11/2020,475,11734,0
299,23/11/2020,464,18769,0
300,24/11/2020,461,16454,0
301,25/11/2020,484,16615,0
302,26/11/2020,433,14568,0
303,27/11/2020,425,14368,0
304,28/11/2020,467,10961,0
305,29/11/2020,465,10682,0
306,30/11/2020,423,18014,0
307,01/12/2020,399,16451,0
308,02/12/2020,386,16465,0
309,03/12/2020,474,15630,0
310,04/12/2020,473,15661,0
311,05/12/2020,395,12734,0
312,06/12/2020,420,13579,0
313,07/12/2020,420,21323,0
314,08/12/2020,435,20781,0
315,09/12/2020,431,21605,0
316,10/12/2020,448,22599,0
317,11/12/2020,453,24059,0
318,12/12/2020,437,19352,0
319,13/12/2020,418,21984,0
320,14/12/2020,479,34702,0
321,15/12/2020,459,33846,0
322,16/12/2020,433,34904,0
323,17/12/2020,537,33875,0
324,18/12/2020,514,35824,0
325,19/12/2020,488,25135,0
326,20/12/2020,506,32440,0
327,21/12/2020,575,47358,0
328,22/12/2020,562,45653,0
329,23/12/2020,565,42170,0
330,24/12/2020,582,31808,0
331,25/12/2020,612,14172,0
332,26/12/2020,654,40365,0
333,27/12/2020,652,47697,0
334,28/12/2020,678,45581,0
335,29/12/2020,656,81503,0
336,30/12/2020,720,70770,0
337,31/12/2020,757,52788,0
338,01/01/2021,749,31836,0
339,02/01/2021,759,60415,0
340,03/01/2021,759,55164,0
341,04/01/2021,839,76145,0
342,05/01/2021,907,65084,0
343,06/01/2021,931,57374,0
344,07/01/2021,994,51945,0
345,08/01/2021,984,46977,0
346,09/01/2021,1018,39080,0
347,10/01/2021,1096,36337,0
348,11/01/2021,1129,57079,145076
349,12/01/2021,1209,49362,207661
350,13/01/2021,1214,45386,278943
351,14/01/2021,1226,42359,316694
352,15/01/2021,1225,40383,341317
353,16/01/2021,1306,30524,296131
354,17/01/2021,1265,28839,190107
355,18/01/2021,1295,44758,204076
356,19/01/2021,1359,39459,343163
357,20/01/2021,1296,35070,363508
358,21/01/2021,1236,31653,409855
359,22/01/2021,1243,29516,478248
360,23/01/2021,1164,21821,491970
361,24/01/2021,1157,17153,220249
362,25/01/2021,1164,29895,279757
363,26/01/2021,1059,26972,311060
364,27/01/2021,1110,25663,312378
365,28/01/2021,1107,24126,414419
366,29/01/2021,1067,21762,487756
367,30/01/2021,911,16662,598389
368,31/01/2021,892,15365,319038
369,01/02/2021,891,22334,350348
370,02/02/2021,849,19749,374756
371,03/02/2021,857,19389,469016
372,04/02/2021,715,17948,480560
373,05/02/2021,751,15837,494163
374,06/02/2021,699,11953,549808
375,07/02/2021,635,11372,278988
376,08/02/2021,676,15696,352480
377,09/02/2021,607,13793,411812
378,10/02/2021,607,13479,450810
379,11/02/2021,572,12735,503116
380,12/02/2021,526,12150,544603
381,13/02/2021,490,8755,505362
382,14/02/2021,493,8752,237962
383,15/02/2021,517,14263,275956
384,16/02/2021,445,12482,364865
385,17/02/2021,430,11555,482110
386,18/02/2021,416,11406,452454
387,19/02/2021,381,10380,371906
388,20/02/2021,349,8052,334679
389,21/02/2021,325,7867,141719
390,22/02/2021,281,11239,192341
391,23/02/2021,286,9377,326692
392,24/02/2021,274,8536,448962
393,25/02/2021,258,7711,485720
394,26/02/2021,226,6563,504493
395,27/02/2021,229,4816,407503
396,28/02/2021,211,4710,185900
397,01/03/2021,224,6875,203168
398,02/03/2021,181,6650,224996
399,03/03/2021,147,5967,278956
400,04/03/2021,153,5718,376244
401,05/03/2021,169,5300,437463
402,06/03/2021,153,4498,416834
403,07/03/2021,131,4285,164143
404,08/03/2021,143,6640,215273
405,09/03/2021,133,6219,217301
406,10/03/2021,116,6034,243887
407,11/03/2021,121,5768,260809
408,12/03/2021,92,5585,369578
409,13/03/2021,107,4242,512108
410,14/03/2021,94,4299,257010
411,15/03/2021,91,6500,386685
412,16/03/2021,80,5671,433320
413,17/03/2021,79,5771,462246
414,18/03/2021,59,5470,528260
415,19/03/2021,70,4994,614930
416,20/03/2021,64,4100,752308
417,21/03/2021,80,5230,367006
418,22/03/2021,65,6200,329897
419,23/03/2021,50,5252,325650
420,24/03/2021,40,6006,337665
421,25/03/2021,45,5398,324942
422,26/03/2021,48,4386,411305
423,27/03/2021,36,3533,424301
424,28/03/2021,34,4651,293548
425,29/03/2021,35,3973,236809
426,30/03/2021,43,3595,225917
427,31/03/2021,38,3767,239434
428,01/04/2021,31,3471,170818
429,02/04/2021,28,2625,107420
430,03/04/2021,31,2406,107886
431,04/04/2021,26,2295,48055
432,05/04/2021,17,2616,40744
433,06/04/2021,28,3116,85227
434,07/04/2021,29,3084,99530
435,08/04/2021,35,2982,96242
436,09/04/2021,23,2783,106878
437,10/04/2021,24,2256,111109
438,11/04/2021,22,2256,69223
439,12/04/2021,27,2714,59905
440,13/04/2021,20,2332,76123
441,14/04/2021,17,2396,117835
442,15/04/2021,21,2186,129782
443,16/04/2021,17,2352,135557
444,17/04/2021,22,1636,139445
445,18/04/2021,17,2440,83225
446,19/04/2021,18,2603,99672
447,20/04/2021,19,2366,107622
448,21/04/2021,24,2540,117909
449,22/04/2021,16,2248,130986
450,23/04/2021,21,1890,135786
451,24/04/2021,8,1467,148767
